times,email,first_name,last_name,position,company_i,company_ii,company_iii,company_iv,company_v,company_vi,company_vii,company_viii,company_ix,company_x,company_xi,company_xii,company_xiii,,,
1/1/00 0:00,T001,T001,T001,Analyst,11,12,7,10,8,9,3,13,4,5,6,1,2,,,
1/2/00 0:00,T002,T002,T002,Analyst,13,10,8,7,12,9,11,5,3,1,4,2,6,,,
1/3/00 0:00,T003,T003,T003,Analyst,8,2,10,6,11,12,3,5,7,1,9,4,13,,,
1/4/00 0:00,T004,T004,T004,Analyst,10,11,9,1,13,12,6,7,2,4,5,3,8,,,
1/5/00 0:00,T005,T005,T005,Analyst,7,4,1,12,11,8,6,10,9,5,3,2,13,,,
1/6/00 0:00,T006,T006,T006,Analyst,11,12,6,9,7,8,5,13,1,3,2,4,10,,,
1/7/00 0:00,T007,T007,T007,Analyst,7,9,8,10,11,12,6,5,4,1,13,2,3,,,
1/8/00 0:00,T008,T008,T008,Analyst,4,9,1,2,10,8,12,3,7,6,5,11,13,,,
1/9/00 0:00,T009,T009,T009,Analyst,10,11,7,3,9,4,1,2,13,12,6,5,8,,,
1/10/00 0:00,T010,T010,T010,Analyst,6,7,8,9,10,11,12,13,1,2,4,3,5,,,
1/11/00 0:00,T011,T011,T011,Analyst,9,7,4,8,2,6,1,3,12,13,5,10,11,,,
1/12/00 0:00,T012,T012,T012,Analyst,11,10,4,2,5,3,1,13,7,8,12,6,9,,,
1/13/00 0:00,T013,T013,T013,Analyst,8,4,2,11,12,3,9,5,6,7,1,10,13,,,
1/14/00 0:00,T014,T014,T014,Analyst,11,12,9,7,6,13,5,8,1,3,4,2,10,,,
1/15/00 0:00,T015,T015,T015,Analyst,13,12,11,10,9,8,1,7,6,2,5,3,4,,,
1/16/00 0:00,T016,T016,T016,Analyst,10,9,8,7,11,12,4,5,3,2,1,6,13,,,
1/17/00 0:00,T017,T017,T017,Analyst,10,2,1,9,8,4,7,5,6,13,3,11,12,,,
1/18/00 0:00,T018,T018,T018,Analyst,3,7,9,2,5,8,1,4,12,6,13,11,10,,,
1/19/00 0:00,T019,T019,T019,Analyst,13,12,4,11,10,9,2,7,8,6,5,1,3,,,
1/20/00 0:00,T020,T020,T020,Analyst,10,4,7,8,9,11,1,6,12,13,3,2,5,,,
1/21/00 0:00,T021,T021,T021,Analyst,8,7,9,12,11,10,3,5,6,2,4,1,13,,,
1/22/00 0:00,T022,T022,T022,Analyst,13,12,7,8,11,10,1,9,6,2,4,3,5,,,
1/23/00 0:00,T023,T023,T023,Analyst,7,8,9,10,11,12,5,4,2,1,13,3,6,,,
1/24/00 0:00,T024,T024,T024,Analyst,5,4,13,3,12,1,11,10,7,9,8,2,6,,,
1/25/00 0:00,T025,T025,T025,Analyst,9,5,6,2,7,8,1,4,11,10,3,12,13,,,
1/26/00 0:00,T026,T026,T026,Analyst,8,5,6,2,7,9,1,4,10,13,3,11,12,,,
1/27/00 0:00,T027,T027,T027,Analyst,9,10,2,6,13,7,5,12,1,8,3,4,11,,,
1/28/00 0:00,T028,T028,T028,Analyst,9,4,10,2,7,6,1,8,13,5,3,11,12,,,
1/29/00 0:00,T029,T029,T029,Analyst,5,4,3,2,8,6,1,12,10,9,7,11,13,,,
1/30/00 0:00,T030,T030,T030,Analyst,12,11,10,9,8,7,3,6,5,4,13,1,2,,,
1/31/00 0:00,T031,T031,T031,Analyst,6,7,5,9,12,4,3,8,13,2,11,1,10,,,
2/1/00 0:00,T032,T032,T032,Analyst,11,1,3,7,12,6,5,8,13,10,9,2,4,,,
2/2/00 0:00,T033,T033,T033,Analyst,13,12,10,11,8,7,4,9,5,3,6,1,2,,,
2/3/00 0:00,T034,T034,T034,Analyst,12,11,6,10,13,4,3,5,8,7,9,1,2,,,
2/4/00 0:00,T035,T035,T035,Analyst,7,1,3,4,9,2,5,6,10,12,8,11,13,,,
2/5/00 0:00,T036,T036,T036,Analyst,11,9,6,13,3,4,1,5,12,2,10,8,7,,,
2/6/00 0:00,T037,T037,T037,Analyst,9,10,12,8,7,11,1,13,2,4,6,3,5,,,
2/7/00 0:00,T038,T038,T038,Analyst,10,8,12,2,5,9,1,11,6,3,13,4,7,,,
2/8/00 0:00,T039,T039,T039,Analyst,7,4,6,5,8,9,12,3,1,10,11,2,13,,,
2/9/00 0:00,T040,T040,T040,Analyst,10,8,7,4,3,6,2,5,11,9,1,12,13,,,
2/10/00 0:00,T041,T041,T041,Analyst,3,9,10,2,5,11,1,4,7,6,12,8,13,,,
2/11/00 0:00,T042,T042,T042,Analyst,8,9,6,1,7,3,4,5,10,11,2,12,13,,,
2/12/00 0:00,T043,T043,T043,Analyst,9,6,11,8,10,5,2,13,12,7,4,1,3,,,
2/13/00 0:00,T044,T044,T044,Analyst,13,12,4,11,10,9,3,2,8,7,6,1,5,,,
2/14/00 0:00,T045,T045,T045,Analyst,11,10,2,3,9,7,12,4,1,6,5,8,13,,,
2/15/00 0:00,T046,T046,T046,Analyst,12,13,4,11,10,6,1,8,3,5,9,2,7,,,
2/16/00 0:00,T047,T047,T047,Analyst,9,10,8,13,11,12,2,6,1,5,4,3,7,,,
2/17/00 0:00,T048,T048,T048,Analyst,5,6,7,8,9,10,11,12,2,3,4,1,13,,,
2/18/00 0:00,T049,T049,T049,Analyst,12,11,3,9,8,7,4,5,1,6,2,10,13,,,
2/19/00 0:00,T050,T050,T050,Analyst,11,1,9,2,10,3,12,6,5,4,7,8,13,,,
